X,Z,Count
1.0,-7.0,5695
-1.0,-1.0,33530
-1.0,0.0,100709
0.0,-1.0,78171
0.0,0.0,185422
2.0,-1.0,5705
1.0,-1.0,11299
1.0,-2.0,3349
0.0,-2.0,4322
2.0,-7.0,3270
3.0,-8.0,2333
1.0,-8.0,1470
2.0,-8.0,2315
4.0,-8.0,2141
4.0,-9.0,792
8.0,-6.0,8663
8.0,-7.0,2212
9.0,-6.0,787
4.0,-18.0,1527
5.0,-18.0,317
4.0,-20.0,67
7.0,-6.0,4236
4.0,-19.0,182
5.0,-20.0,65
5.0,-19.0,73
4.0,-17.0,1258
7.0,-7.0,2253
8.0,-8.0,1494
5.0,-12.0,685
7.0,-8.0,4253
7.0,-9.0,11839
19.0,-17.0,605
8.0,-9.0,891
19.0,-18.0,87
19.0,-16.0,384
6.0,-12.0,1537
18.0,-18.0,148
18.0,-17.0,415
17.0,-18.0,197
19.0,-19.0,22
18.0,-19.0,38
6.0,-13.0,756
17.0,-17.0,51
19.0,-13.0,135
19.0,-14.0,127
6.0,-19.0,208
6.0,-20.0,817
16.0,-18.0,9
18.0,-16.0,118
7.0,-10.0,3279
16.0,-17.0,23
18.0,-15.0,42
15.0,-16.0,2
17.0,-15.0,28
8.0,-12.0,662
10.0,-9.0,265
14.0,-15.0,1
16.0,-16.0,4
17.0,-14.0,42
15.0,-15.0,2
16.0,-15.0,8
10.0,-8.0,331
9.0,-10.0,287
15.0,-14.0,10
18.0,-13.0,57
16.0,-14.0,5
18.0,-14.0,51
7.0,-11.0,400
9.0,-9.0,1874
16.0,-13.0,8
15.0,-13.0,13
17.0,-13.0,20
14.0,-9.0,61
9.0,-8.0,627
15.0,-9.0,19
14.0,-7.0,30
14.0,-8.0,255
16.0,-12.0,3
17.0,-12.0,7
13.0,-7.0,5
10.0,-7.0,1987
15.0,-8.0,42
7.0,-14.0,124
8.0,-13.0,1057
9.0,-7.0,431
10.0,-10.0,23
11.0,-7.0,4
13.0,-8.0,8
16.0,-8.0,3
10.0,-6.0,3098
11.0,-6.0,81
10.0,-5.0,1671
11.0,-5.0,1331
8.0,-11.0,44
4.0,-16.0,134
11.0,-4.0,2489
11.0,-3.0,2432
12.0,-5.0,27
5.0,-17.0,125
6.0,-18.0,83
19.0,-5.0,1
4.0,-15.0,8
15.0,-7.0,1
7.0,-12.0,146
3.0,-14.0,35
4.0,-14.0,52
4.0,-13.0,132
3.0,-13.0,74
3.0,-12.0,413
14.0,-4.0,3
4.0,-12.0,229
13.0,-4.0,19
3.0,-11.0,120
6.0,-11.0,184
6.0,-10.0,628
6.0,-9.0,1728
2.0,-11.0,226
3.0,-10.0,563
2.0,-10.0,497
13.0,-3.0,9
5.0,-10.0,462
5.0,-9.0,1028
12.0,-3.0,38
6.0,-8.0,1179
5.0,-8.0,1161
7.0,-5.0,1731
6.0,-7.0,1572
3.0,-9.0,522
2.0,-9.0,452
5.0,-7.0,357
8.0,-5.0,641
9.0,-5.0,99
10.0,-4.0,293
4.0,-7.0,261
6.0,-6.0,1447
8.0,-4.0,679
9.0,-4.0,237
3.0,-7.0,1106
10.0,-3.0,166
4.0,-6.0,650
5.0,-6.0,137
7.0,-4.0,1090
3.0,-6.0,670
9.0,-3.0,564
6.0,-5.0,471
8.0,-3.0,593
5.0,-5.0,556
11.0,-2.0,865
1.0,-6.0,780
2.0,-6.0,326
10.0,-2.0,476
4.0,-5.0,965
9.0,-2.0,346
7.0,-3.0,433
1.0,0.0,2609
0.0,1.0,21274
2.0,5.0,2591
18.0,4.0,776
19.0,4.0,1044
18.0,5.0,480
19.0,5.0,1459
19.0,6.0,998
18.0,6.0,305
17.0,5.0,191
17.0,4.0,39
18.0,17.0,227
17.0,6.0,86
17.0,16.0,179
16.0,5.0,94
17.0,17.0,277
18.0,18.0,294
15.0,5.0,141
19.0,3.0,251
11.0,7.0,464
11.0,8.0,194
14.0,5.0,464
18.0,3.0,9
12.0,8.0,61
19.0,19.0,126
11.0,6.0,1087
17.0,10.0,8
18.0,16.0,95
12.0,7.0,187
17.0,9.0,31
19.0,17.0,68
12.0,6.0,266
17.0,15.0,60
19.0,2.0,536
16.0,15.0,100
16.0,8.0,95
18.0,15.0,35
16.0,9.0,6
18.0,10.0,38
19.0,16.0,17
18.0,9.0,88
19.0,11.0,52
19.0,18.0,97
19.0,10.0,187
15.0,18.0,226
15.0,19.0,223
18.0,8.0,102
19.0,9.0,274
16.0,19.0,56
13.0,12.0,359
14.0,18.0,295
12.0,12.0,305
-10.0,-19.0,152
-9.0,-18.0,20
-10.0,-20.0,192
-10.0,-18.0,153
-9.0,-19.0,16
-14.0,-20.0,1010
-12.0,-20.0,622
-13.0,-20.0,1748
-11.0,-20.0,863
-13.0,-19.0,298
-12.0,-19.0,433
-11.0,-19.0,334
-14.0,-19.0,1160
-7.0,-10.0,312
-7.0,-9.0,2460
-11.0,-18.0,247
-3.0,-6.0,2143
-6.0,-9.0,1740
-10.0,-17.0,218
-11.0,-17.0,141
-9.0,-16.0,359
-12.0,-18.0,98
-10.0,-16.0,307
-2.0,-6.0,25303
0.0,-7.0,6184
-1.0,-6.0,5424
-9.0,-15.0,341
-10.0,-15.0,238
-8.0,-13.0,157
-8.0,-15.0,160
-9.0,-14.0,118
-7.0,-11.0,191
-8.0,-14.0,317
-8.0,-12.0,144
-9.0,-13.0,118
-2.0,-7.0,3237
-6.0,-10.0,313
-5.0,-7.0,1923
-7.0,-13.0,249
-6.0,-8.0,2966
-4.0,-7.0,1589
-5.0,-8.0,5608
-5.0,-9.0,1563
-4.0,-9.0,2339
0.0,-8.0,1206
-5.0,-10.0,1032
-4.0,-8.0,5096
-3.0,-8.0,2537
5.0,-13.0,1873
5.0,-14.0,146
6.0,-14.0,20
-3.0,-7.0,2622
-4.0,-10.0,145
-3.0,-9.0,3620
-3.0,-10.0,1186
8.0,-16.0,75
-5.0,-12.0,332
-5.0,-13.0,13
7.0,-16.0,739
8.0,-17.0,28
9.0,-18.0,17
-4.0,-11.0,348
-2.0,-10.0,436
-2.0,-9.0,644
-3.0,-12.0,799
-3.0,-11.0,219
-3.0,-13.0,258
11.0,-20.0,177
11.0,-19.0,49
-5.0,-20.0,136
10.0,-19.0,6
10.0,-18.0,4
7.0,-17.0,837
7.0,-18.0,604
7.0,-15.0,375
8.0,-15.0,301
8.0,-14.0,834
-4.0,-20.0,132
7.0,-19.0,319
7.0,-20.0,132
-6.0,-11.0,1301
-5.0,-11.0,1646
-1.0,1.0,7697
-19.0,-11.0,33
-18.0,-10.0,126
-18.0,-11.0,44
-10.0,-7.0,1794
-10.0,-6.0,1833
-20.0,-11.0,44
-19.0,-10.0,46
-17.0,-9.0,17
-10.0,-5.0,1639
-11.0,-6.0,14
-17.0,-10.0,31
-10.0,-4.0,227
-9.0,-5.0,578
-16.0,-6.0,12
-9.0,-4.0,1640
-9.0,-3.0,1744
-17.0,-6.0,7
-9.0,-2.0,1901
-9.0,-1.0,1669
-10.0,-3.0,16
-9.0,0.0,233
-11.0,-7.0,10
-7.0,-7.0,188
-7.0,-8.0,2303
-6.0,-7.0,552
-8.0,-8.0,283
-19.0,-20.0,1310
-8.0,-9.0,322
-9.0,-9.0,324
-20.0,-20.0,526
-10.0,-10.0,141
-9.0,-10.0,228
-15.0,-20.0,269
-18.0,-20.0,941
-19.0,-19.0,681
-18.0,-19.0,536
-17.0,-18.0,166
-15.0,-17.0,184
-16.0,-17.0,67
0.0,-6.0,1472
-15.0,-16.0,166
-11.0,-12.0,764
-12.0,-13.0,437
-14.0,-15.0,83
-14.0,-16.0,415
-10.0,-11.0,210
-13.0,-15.0,540
-13.0,-14.0,256
-17.0,-19.0,222
-12.0,-14.0,470
-16.0,-18.0,198
-16.0,-19.0,60
-17.0,-20.0,388
-1.0,-7.0,2965
-15.0,-18.0,64
-10.0,-12.0,331
-9.0,-11.0,72
-2.0,-8.0,982
-11.0,-13.0,503
-8.0,-10.0,179
-1.0,-8.0,907
-6.0,-12.0,90
-11.0,-14.0,155
-12.0,-15.0,161
-13.0,-16.0,153
-14.0,-17.0,710
-16.0,-20.0,217
-20.0,-19.0,703
-19.0,-18.0,307
-18.0,-18.0,298
-15.0,-19.0,126
-14.0,-18.0,502
-17.0,-17.0,34
-11.0,-11.0,1296
-11.0,-10.0,1628
-12.0,-12.0,276
-13.0,-13.0,9
-12.0,-11.0,16
1.0,1.0,1701
2.0,6.0,1377
1.0,5.0,3613
3.0,5.0,103
3.0,6.0,99
9.0,0.0,3819
10.0,0.0,1602
3.0,7.0,45
9.0,-1.0,935
2.0,7.0,52
10.0,-1.0,1114
10.0,1.0,469
9.0,1.0,365
19.0,0.0,144
11.0,5.0,80
18.0,19.0,216
15.0,7.0,73
19.0,1.0,547
15.0,8.0,43
13.0,6.0,206
17.0,8.0,60
13.0,13.0,231
14.0,2.0,8
13.0,2.0,951
12.0,0.0,278
13.0,17.0,18
12.0,2.0,579
14.0,17.0,72
11.0,0.0,243
13.0,1.0,762
12.0,1.0,334
12.0,3.0,261
13.0,3.0,1330
13.0,4.0,1275
19.0,13.0,18
19.0,14.0,7
18.0,13.0,4
18.0,12.0,18
16.0,11.0,31
18.0,11.0,2
17.0,12.0,6
13.0,8.0,61
19.0,12.0,4
15.0,9.0,105
14.0,9.0,243
15.0,10.0,459
14.0,10.0,78
15.0,11.0,378
14.0,11.0,56
15.0,12.0,268
15.0,13.0,140
16.0,13.0,158
15.0,14.0,111
16.0,16.0,185
14.0,19.0,39
14.0,8.0,105
17.0,18.0,71
16.0,14.0,301
16.0,17.0,58
17.0,19.0,186
17.0,14.0,28
14.0,13.0,72
15.0,15.0,14
14.0,14.0,9
13.0,0.0,16
16.0,12.0,19
13.0,7.0,180
16.0,18.0,19
14.0,4.0,12
15.0,16.0,16
14.0,1.0,7
14.0,16.0,20
14.0,12.0,51
15.0,17.0,5
14.0,3.0,5
14.0,15.0,14
13.0,9.0,47
-8.0,6.0,1062
-8.0,7.0,549
-16.0,11.0,522
-17.0,12.0,38
-15.0,11.0,510
-16.0,12.0,189
-17.0,11.0,145
-16.0,13.0,109
-17.0,13.0,45
-20.0,13.0,33
-18.0,14.0,25
-16.0,10.0,74
-15.0,10.0,111
-15.0,12.0,116
-18.0,11.0,32
-19.0,14.0,3
-18.0,13.0,5
-18.0,15.0,94
-15.0,15.0,403
-14.0,11.0,55
-17.0,14.0,66
-15.0,16.0,177
-16.0,16.0,88
-16.0,15.0,256
-18.0,12.0,32
-8.0,0.0,2440
-19.0,15.0,8
-8.0,-1.0,1146
-16.0,17.0,91
-15.0,14.0,90
-7.0,6.0,532
-8.0,1.0,2976
-14.0,14.0,95
-8.0,2.0,2900
-20.0,19.0,18
-14.0,10.0,24
-17.0,10.0,41
-14.0,9.0,49
-8.0,5.0,1213
-18.0,10.0,43
-13.0,10.0,43
-10.0,7.0,33
-11.0,8.0,32
-17.0,16.0,95
-9.0,7.0,293
-8.0,4.0,1871
-14.0,15.0,189
-13.0,11.0,55
-19.0,17.0,69
-17.0,17.0,22
-20.0,17.0,26
-18.0,16.0,98
-18.0,17.0,38
-7.0,4.0,811
-18.0,19.0,10
-20.0,18.0,23
-8.0,3.0,1966
-9.0,6.0,131
-7.0,3.0,593
-9.0,5.0,23
-19.0,16.0,39
-10.0,8.0,70
-17.0,18.0,64
-17.0,19.0,120
-16.0,18.0,143
-17.0,15.0,108
-15.0,13.0,18
-14.0,12.0,59
-11.0,-1.0,12
-9.0,1.0,25
-13.0,-1.0,2
-15.0,-1.0,1
-16.0,3.0,1
-16.0,19.0,136
-16.0,14.0,18
-12.0,10.0,28
-19.0,18.0,20
-15.0,17.0,97
-14.0,13.0,39
-12.0,9.0,10
-15.0,18.0,19
-11.0,9.0,32
-15.0,19.0,64
-18.0,18.0,5
-10.0,9.0,21
-13.0,12.0,51
-13.0,14.0,40
-13.0,17.0,33
-12.0,11.0,13
-6.0,6.0,581
-7.0,5.0,1018
-13.0,18.0,15
-14.0,18.0,29
-13.0,13.0,35
-14.0,19.0,16
-13.0,15.0,21
-14.0,16.0,11
-13.0,19.0,5
-12.0,16.0,52
-7.0,7.0,103
-12.0,17.0,22
-11.0,15.0,64
-12.0,15.0,29
-12.0,14.0,41
-11.0,17.0,15
-11.0,16.0,69
-4.0,6.0,1175
-11.0,12.0,33
-6.0,7.0,118
-10.0,14.0,16
-5.0,6.0,1111
-10.0,15.0,173
-12.0,-1.0,2
-10.0,-1.0,5
-10.0,16.0,52
-9.0,15.0,91
-11.0,14.0,24
-9.0,4.0,9
-9.0,16.0,136
-7.0,8.0,21
-13.0,6.0,4
-8.0,-2.0,94
-10.0,13.0,15
-6.0,8.0,17
-11.0,6.0,1
-10.0,5.0,17
-12.0,5.0,3
-9.0,13.0,15
-6.0,9.0,37
-9.0,12.0,10
-7.0,10.0,51
-8.0,12.0,11
-8.0,11.0,15
-11.0,5.0,5
-7.0,12.0,11
-7.0,11.0,22
-8.0,13.0,5
-7.0,1.0,799
-8.0,15.0,63
-11.0,18.0,1
-6.0,10.0,122
-7.0,2.0,455
-6.0,5.0,366
-7.0,0.0,481
-7.0,-1.0,362
-3.0,-1.0,5215
-6.0,11.0,25
-5.0,9.0,118
-6.0,4.0,407
-6.0,3.0,479
-7.0,-2.0,51
-5.0,10.0,103
-6.0,1.0,454
-5.0,5.0,739
-5.0,4.0,518
-6.0,2.0,327
-5.0,8.0,24
-4.0,8.0,309
-5.0,7.0,50
-4.0,5.0,562
-5.0,3.0,554
-6.0,0.0,675
-5.0,2.0,629
-2.0,2.0,2605
-5.0,1.0,583
-4.0,7.0,131
-5.0,0.0,581
-4.0,4.0,601
-4.0,3.0,1113
-3.0,6.0,330
